"Labour force characteristics by industry, annual (x 1,000)" 1
"Annual"
"Table: 14-10-0023-01 (formerly CANSIM 282-0008)"
"Geography: Canada, Province or territory"

"","","","Employment 4",,
,"Non-durables","2014","53.2","487.2","141.1"
,,"2015","57.7","473.8","150.8"
,,"2016","56.5","453.7","151.7"
,,"2017","62.0","462.0","157.8"
,,"2018","60.6","464.2","161.1"
,,"2019","57.8","459.7","172.4"
,"Services-producing sector 10","2014","2,085.3","9,109.9","2,709.9"
,,"2015","2,082.5","9,207.6","2,786.1"
,,"2016","2,066.9","9,269.9","2,910.1"
,,"2017","2,082.2","9,445.1","3,013.1"
,,"2018","2,071.4","9,542.0","3,115.7"
,,"2019","2,157.6","9,731.0","3,211.6"
,"Wholesale and retail trade","2014","686.3","1,534.3","508.7"
,,"2015","661.1","1,550.4","521.2"
,,"2016","645.0","1,549.6","551.3"
,,"2017","659.7","1,566.3","583.7"
,,"2018","621.3","1,569.0","604.2"
,,"2019","682.3","1,553.1","606.4"
,"Wholesale trade","2014","39.9","446.6","135.7"
,,"2015","48.8","466.0","152.1"
,,"2016","44.4","474.3","159.4"
,,"2017","50.4","465.8","157.2"
,,"2018","36.0","457.9","162.4"
,,"2019","41.9","431.0","165.2"
,"Retail trade","2014","646.4","1,087.7","373.0"
,,"2015","612.3","1,084.4","369.1"
,,"2016","600.6","1,075.3","391.9"
,,"2017","609.2","1,100.5","426.5"
,,"2018","585.3","1,111.1","441.8"
,,"2019","640.4","1,122.1","441.2"
,"Transportation and warehousing","2014","57.2","625.6","214.0"
,,"2015","56.9","626.3","234.1"
,,"2016","52.9","620.8","233.7"
,,"2017","58.9","623.7","261.1"
,,"2018","63.1","656.2","271.6"
,,"2019","75.5","686.6","275.8"
,"Finance, insurance, real estate, rental and leasing","2014","71.2","769.8","242.9"
,,"2015","72.3","790.0","240.7"
,,"2016","74.0","799.4","253.7"
,,"2017","76.9","834.0","260.4"
,,"2018","77.7","833.5","262.7"
,,"2019","75.4","863.7","269.3"
,"Finance and insurance","2014","48.9","584.2","146.5"
,,"2015","52.2","593.9","144.9"
,,"2016","53.7","606.5","147.8"
,,"2017","52.7","628.0","150.7"
,,"2018","56.0","619.1","153.7"
,,"2019","53.5","635.3","158.9"
,"Real estate and rental and leasing","2014","22.2","185.5","96.4"
,,"2015","20.1","196.1","95.8"
,,"2016","20.3","192.9","105.9"
,,"2017","24.2","205.9","109.8"
,,"2018","21.7","214.4","109.0"
,,"2019","22.0","228.5","110.4"
,"Professional, scientific and technical services","2014","87.2","967.8","278.3"
,,"2015","100.3","973.1","292.3"
,,"2016","93.0","1,011.1","289.6"
,,"2017","91.0","1,056.8","301.0"
,,"2018","100.0","1,052.9","313.9"
,,"2019","116.8","1,105.3","333.6"
,"Business, building and other support services 11","2014","94.0","485.2","155.6"
,,"2015","101.9","482.8","175.9"
,,"2016","105.5","475.6","185.3"
,,"2017","99.7","481.5","175.3"
,,"2018","100.3","490.8","186.0"
,,"2019","91.5","489.5","195.3"
,"Educational services","2014","91.7","889.5","255.7"
,,"2015","97.3","925.4","251.4"
,,"2016","99.0","910.7","260.2"
,,"2017","98.6","914.7","271.7"
,,"2018","106.8","944.5","274.0"
,,"2019","113.2","965.2","292.1"
,"Health care and social assistance","2014","188.0","1,582.8","448.9"
,,"2015","192.4","1,637.8","462.2"
,,"2016","184.1","1,660.1","495.1"
,,"2017","172.3","1,695.9","515.0"
,,"2018","183.6","1,709.3","513.8"
,,"2019","195.7","1,759.9","534.2"
,"Information, culture and recreation","2014","164.6","463.6","129.1"
,,"2015","164.7","457.7","128.2"
,,"2016","170.6","474.2","137.6"
,,"2017","186.3","468.5","134.4"
,,"2018","174.0","474.1","138.8"
,,"2019","175.6","458.2","140.2"
,"Accommodation and food services","2014","489.0","589.4","129.1"
,,"2015","498.0","576.9","135.7"
,,"2016","500.4","581.9","130.4"
,,"2017","489.8","591.7","129.3"
,,"2018","499.8","582.3","152.9"
,,"2019","494.0","574.6","147.1"
,"Other services (except public administration)","2014","105.9","517.2","172.0"
,,"2015","89.5","504.0","168.4"
,,"2016","97.9","495.0","182.0"
,,"2017","92.0","503.3","186.0"
,,"2018","94.1","515.8","193.0"
,,"2019","80.6","525.9","211.0"
,"Public administration","2014","50.3","684.9","175.4"
,,"2015","48.1","683.3","176.1"
,,"2016","44.6","691.5","191.2"
,,"2017","57.0","708.8","195.2"
,,"2018","50.7","713.4","204.8"
,,"2019","56.9","749.0","206.8"
,"Unclassified industries 12","2014","..","..",".."
,,"2015","..","..",".."
,,"2016","..","..",".."
,,"2017","..","..",".."
,,"2018","..","..",".."
,,"2019","..","..",".."

Symbol legend:
..,  not available for a specific reference period,
x,  suppressed to meet the confidentiality requirements of the Statistics Act,

Footnotes:
1,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
2,Excluding the territories.
3,"Industry refers to the general nature of the business carried out by the employer for whom the respondent works (main job only). If the individual did not have a job during the reference week, the data relate to the previous job, if that job was held in the past year. Those unemployed persons who have never worked before and those persons who last worked more than 1 year ago make up the ""unclassified"" category in this table. In January 1999, the industry classification switched from Standard Industrial Classification (SIC 1980) to North American Industrial Classification System (NAICS), which was quite different. For this reason, detailed historical data based on NAICS is provided going back to January 1987. In addition, data from 1976 to 1986 is provided at a less detailed level than the more recent data. Historical data have been created by imputation. From 1976 to 1986, estimates are based on 2002 NAICS. From 1987 onwards, industry estimates are based on the 2012 North American Industry Classification System (NAICS)."
4,"Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason. Those persons on layoff and persons without work but who had a job to start at a definite date in the future are not considered employed. Estimates in thousands, rounded to the nearest hundred."
5,This combines the North American Industry Classification System (NAICS) codes 11 to 91.
6,This combines the North American Industry Classification System (NAICS) codes 11 to 33.
7,"Labour Force Survey (LFS) North American Industry Classification System (NAICS) code exception: add group 1100 - Farming - not elsewhere classified (nec). When the type of farm activity cannot be distinguished between crop and livestock, (example: mixed farming)."
8,Labour Force Survey (LFS) North American Industry Classification System (NAICS) code exception: add group 2100 - Mining - not elsewhere classified (nec). Whenever the type of mining activity cannot be distinguished.
9,Also referred to as Natural resources.
10,This combines the North American Industry Classification System (NAICS) codes 41 to 91.
11,"Formerly ""Management of companies and administrative and other support services""."
12,"Unemployed persons who have never worked before, and those unemployed persons who last worked more than 1 year ago."
13,
"How to cite: Statistics Canada. Table 14-10-0023-01 Labour force characteristics by industry, annual (x 1,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410002301
DOI: https://doi.org/10.25318/1410002301-eng
